行政区,坐标,数量
奉贤区,"121.468244,30.997137",5
奉贤区,"121.468244,30.988137",1
奉贤区,"121.468244,30.979137",27
奉贤区,"121.468244,30.970137",38
奉贤区,"121.468244,30.961137",40
奉贤区,"121.468244,30.952137",25
奉贤区,"121.468244,30.943137",338
奉贤区,"121.468244,30.934137",746
奉贤区,"121.468244,30.925137",728
奉贤区,"121.468244,30.916137",860
奉贤区,"121.468244,30.907137",881
奉贤区,"121.468244,30.898137",318
奉贤区,"121.468244,30.889137",20
奉贤区,"121.468244,30.880137",6
奉贤区,"121.468244,30.871137",9
奉贤区,"121.468244,30.862137",102
奉贤区,"121.468244,30.853137",7
奉贤区,"121.468244,30.844137",8
奉贤区,"121.468244,30.835137",186
奉贤区,"121.468244,30.826137",196
奉贤区,"121.468244,30.817137",14
奉贤区,"121.468244,30.808137",10
奉贤区,"121.468244,30.799137",2
奉贤区,"121.468244,30.790137",1
奉贤区,"121.468244,30.781137",1
奉贤区,"121.477244,31.006137",3
奉贤区,"121.477244,30.997137",4
奉贤区,"121.477244,30.988137",4
奉贤区,"121.477244,30.979137",22
奉贤区,"121.477244,30.970137",55
奉贤区,"121.477244,30.961137",38
奉贤区,"121.477244,30.952137",13
奉贤区,"121.477244,30.943137",7
奉贤区,"121.477244,30.934137",49
奉贤区,"121.477244,30.925137",371
奉贤区,"121.477244,30.916137",834
奉贤区,"121.477244,30.907137",813
奉贤区,"121.477244,30.898137",64
奉贤区,"121.477244,30.889137",10
奉贤区,"121.477244,30.880137",9
奉贤区,"121.477244,30.871137",32
奉贤区,"121.477244,30.862137",28
奉贤区,"121.477244,30.853137",3
奉贤区,"121.477244,30.844137",8
奉贤区,"121.477244,30.835137",173
奉贤区,"121.477244,30.826137",197
奉贤区,"121.477244,30.817137",1
奉贤区,"121.477244,30.808137",2
奉贤区,"121.477244,30.799137",2
奉贤区,"121.477244,30.790137",1
奉贤区,"121.486244,31.006137",2
奉贤区,"121.486244,30.997137",7
奉贤区,"121.486244,30.988137",9
奉贤区,"121.486244,30.979137",10
奉贤区,"121.486244,30.970137",18
奉贤区,"121.486244,30.961137",92
奉贤区,"121.486244,30.952137",66
奉贤区,"121.486244,30.943137",6
奉贤区,"121.486244,30.934137",56
奉贤区,"121.486244,30.925137",209
奉贤区,"121.486244,30.916137",662
奉贤区,"121.486244,30.907137",353
奉贤区,"121.486244,30.898137",18
奉贤区,"121.486244,30.889137",14
奉贤区,"121.486244,30.880137",8
奉贤区,"121.486244,30.871137",50
奉贤区,"121.486244,30.862137",44
奉贤区,"121.486244,30.853137",3
奉贤区,"121.486244,30.844137",13
奉贤区,"121.486244,30.835137",26
奉贤区,"121.486244,30.826137",9
奉贤区,"121.486244,30.817137",1
奉贤区,"121.486244,30.808137",1
奉贤区,"121.486244,30.799137",1
奉贤区,"121.495244,30.997137",128
奉贤区,"121.495244,30.988137",422
奉贤区,"121.495244,30.979137",113
奉贤区,"121.495244,30.970137",6
奉贤区,"121.495244,30.961137",113
奉贤区,"121.495244,30.952137",117
奉贤区,"121.495244,30.943137",5
奉贤区,"121.495244,30.934137",30
奉贤区,"121.495244,30.925137",107
奉贤区,"121.495244,30.916137",419
奉贤区,"121.495244,30.907137",160
奉贤区,"121.495244,30.898137",51
奉贤区,"121.495244,30.889137",32
奉贤区,"121.495244,30.880137",2
奉贤区,"121.495244,30.871137",32
奉贤区,"121.495244,30.862137",17
奉贤区,"121.495244,30.853137",2
奉贤区,"121.495244,30.844137",28
奉贤区,"121.495244,30.835137",78
奉贤区,"121.495244,30.826137",7
奉贤区,"121.495244,30.817137",1
奉贤区,"121.495244,30.808137",1
奉贤区,"121.504244,30.997137",329
奉贤区,"121.504244,30.988137",505
奉贤区,"121.504244,30.979137",148
奉贤区,"121.504244,30.970137",31
奉贤区,"121.504244,30.961137",57
奉贤区,"121.504244,30.952137",72
奉贤区,"121.504244,30.943137",16
奉贤区,"121.504244,30.934137",5
奉贤区,"121.504244,30.925137",26
奉贤区,"121.504244,30.916137",97
奉贤区,"121.504244,30.907137",212
奉贤区,"121.504244,30.898137",110
奉贤区,"121.504244,30.889137",24
奉贤区,"121.504244,30.880137",4
奉贤区,"121.504244,30.871137",9
奉贤区,"121.504244,30.862137",3
奉贤区,"121.504244,30.853137",7
奉贤区,"121.504244,30.844137",174
奉贤区,"121.504244,30.835137",262
奉贤区,"121.504244,30.826137",95
奉贤区,"121.504244,30.817137",5
奉贤区,"121.513244,30.997137",120
奉贤区,"121.513244,30.988137",229
奉贤区,"121.513244,30.979137",24
奉贤区,"121.513244,30.970137",61
奉贤区,"121.513244,30.961137",66
奉贤区,"121.513244,30.952137",56
奉贤区,"121.513244,30.943137",26
奉贤区,"121.513244,30.934137",18
奉贤区,"121.513244,30.925137",41
奉贤区,"121.513244,30.916137",93
奉贤区,"121.513244,30.907137",353
奉贤区,"121.513244,30.898137",188
奉贤区,"121.513244,30.889137",2
奉贤区,"121.513244,30.880137",1
奉贤区,"121.513244,30.871137",3
奉贤区,"121.513244,30.862137",1
奉贤区,"121.513244,30.853137",31
奉贤区,"121.513244,30.844137",199
奉贤区,"121.513244,30.835137",304
奉贤区,"121.513244,30.826137",75
奉贤区,"121.513244,30.817137",31
奉贤区,"121.513244,30.808137",5
奉贤区,"121.522244,30.997137",48
奉贤区,"121.522244,30.988137",19
奉贤区,"121.522244,30.979137",10
奉贤区,"121.522244,30.970137",40
奉贤区,"121.522244,30.961137",51
奉贤区,"121.522244,30.952137",22
奉贤区,"121.522244,30.943137",20
奉贤区,"121.522244,30.934137",14
奉贤区,"121.522244,30.925137",24
奉贤区,"121.522244,30.916137",54
奉贤区,"121.522244,30.907137",211
奉贤区,"121.522244,30.898137",19
奉贤区,"121.522244,30.889137",2
奉贤区,"121.522244,30.880137",3
奉贤区,"121.522244,30.871137",5
奉贤区,"121.522244,30.862137",5
奉贤区,"121.522244,30.853137",27
奉贤区,"121.522244,30.844137",158
奉贤区,"121.522244,30.835137",287
奉贤区,"121.522244,30.826137",240
奉贤区,"121.522244,30.817137",62
奉贤区,"121.522244,30.808137",13
奉贤区,"121.531244,30.988137",2
奉贤区,"121.531244,30.979137",6
奉贤区,"121.531244,30.970137",7
奉贤区,"121.531244,30.961137",5
奉贤区,"121.531244,30.952137",1
奉贤区,"121.531244,30.943137",1
奉贤区,"121.531244,30.934137",4
奉贤区,"121.531244,30.925137",20
奉贤区,"121.531244,30.916137",17
奉贤区,"121.531244,30.907137",15
奉贤区,"121.531244,30.898137",1
奉贤区,"121.531244,30.889137",3
奉贤区,"121.531244,30.880137",12
奉贤区,"121.531244,30.871137",92
奉贤区,"121.531244,30.862137",13
奉贤区,"121.531244,30.853137",4
奉贤区,"121.531244,30.844137",17
奉贤区,"121.531244,30.835137",269
奉贤区,"121.531244,30.826137",225
奉贤区,"121.531244,30.817137",47
奉贤区,"121.540244,30.988137",2
奉贤区,"121.540244,30.979137",16
奉贤区,"121.540244,30.970137",14
奉贤区,"121.540244,30.961137",5
奉贤区,"121.540244,30.952137",1
奉贤区,"121.540244,30.943137",2
奉贤区,"121.540244,30.934137",2
奉贤区,"121.540244,30.925137",15
奉贤区,"121.540244,30.916137",12
奉贤区,"121.540244,30.907137",4
奉贤区,"121.540244,30.898137",2
奉贤区,"121.540244,30.889137",3
奉贤区,"121.540244,30.880137",78
奉贤区,"121.540244,30.871137",173
奉贤区,"121.540244,30.862137",86
奉贤区,"121.540244,30.853137",4
奉贤区,"121.540244,30.844137",4
奉贤区,"121.540244,30.835137",2
奉贤区,"121.540244,30.826137",14
奉贤区,"121.540244,30.817137",8
奉贤区,"121.549244,30.988137",4
奉贤区,"121.549244,30.979137",20
奉贤区,"121.549244,30.970137",12
奉贤区,"121.549244,30.961137",4
奉贤区,"121.549244,30.952137",4
奉贤区,"121.549244,30.943137",8
奉贤区,"121.549244,30.934137",30
奉贤区,"121.549244,30.925137",36
奉贤区,"121.549244,30.916137",10
奉贤区,"121.549244,30.907137",4
奉贤区,"121.549244,30.898137",2
奉贤区,"121.549244,30.889137",2
奉贤区,"121.549244,30.880137",20
奉贤区,"121.549244,30.871137",169
奉贤区,"121.549244,30.862137",29
奉贤区,"121.549244,30.853137",10
奉贤区,"121.549244,30.844137",1
奉贤区,"121.549244,30.835137",3
奉贤区,"121.549244,30.826137",10
奉贤区,"121.549244,30.817137",9
